1101162143775.txt|ALDERWOOD|Organization|0.000277330667646
1101162143775.txt|Eastern Washington|Location|0.00201038207331
1101162143775.txt|Alderwood|Location|0.000277330667646
1101162143775.txt|Varley|Location|0.0103510197409
1101162143775.txt|Ecological Studies|Organization|0.00302452064447
1101162143775.txt|Washington State University|Organization|0.00207677181223
1101162143775.txt|Bill Clarke|Person|0.00302452064447
1101162143775.txt|Clarke|Person|0.00604904128895
1101162143775.txt|Ellie Olmsen Date|Person|0.0
1101162143775.txt|Hilda Dorfman|Person|0.00302452064447
1101162143775.txt|Jack Varley|Person|0.00302452064447
1101162143775.txt|Varley|Person|0.0103510197409
1101162433811.txt|Alderwood City Council|Organization|0.000256394356936
1101162433811.txt|Alderwood|Location|0.000398133912876
1101162433811.txt|Alderwood Untruths|Organization|0.0
1101162433811.txt|I-884|Misc|0.00053002643284
1101162433811.txt|Alderwood High School|Organization|0.00019069333469
1101162433811.txt|St. Joseph 's Hospital|Location|0.0
1101162433811.txt|Tacoma|Location|0.00106005286568
1101162433811.txt|Alderwood Daily News|Organization|0.000746632775429
1101162433811.txt|Washington|Location|0.000339832789196
1101162433811.txt|Nouvella Club|Organization|0.000578930679385
1101162433811.txt|United Methodist Church|Organization|0.000823451912112
1101162433811.txt|Washington Corrugators|Location|0.00049532831772
1101162433811.txt|Centennial Square|Location|0.00053002643284
1101162433811.txt|Valley|Location|0.000126692821958
1101162433811.txt|United Methodist Church in Alderwood|Organization|0.00053002643284
1101162433811.txt|Alderwood|Person|0.000398133912876
1101162433811.txt|Alderwood Steve Evanswill|Person|0.0
1101162433811.txt|Alice Benedetti|Person|0.00049532831772
1101162433811.txt|Bob Story|Person|0.000313917462965
1101162433811.txt|Christine Gregoire|Person|0.00049532831772
1101162433811.txt|Coven M. Evans Olivas|Person|0.000578930679385
1101162433811.txt|Dino Rossi|Person|0.000468414368702
1101162433811.txt|Don|Person|0.00095301752967
1101162433811.txt|Dorothy L. Aiken|Person|0.000578930679385
1101162433811.txt|Ella Mae Lochner|Person|0.00049532831772
1101162433811.txt|John Panni|Person|0.000512788713871
1101162433811.txt|John Sarducci|Person|0.000578930679385
1101162433811.txt|Letha Grubb|Person|0.000578930679385
1101162433811.txt|Lila Furukawa|Person|0.000578930679385
1101162433811.txt|Lu Ann Roach|Person|0.000578930679385
1101162433811.txt|Marie Handy|Person|0.00049532831772
1101162433811.txt|Max|Person|0.000384812007037
1101162433811.txt|Myrtis Lang|Person|0.00049532831772
1101162433811.txt|Nita Coleman|Person|0.000578930679385
1101162433811.txt|Panni|Person|0.00179476049855
1101162433811.txt|Phyllis Morris|Person|0.00049532831772
1101162433811.txt|Rita Blunk|Person|0.000578930679385
1101162433811.txt|Ron Olivas|Person|0.000578930679385
1101162433811.txt|Rosalinda|Person|0.000578930679385
1101162433811.txt|Ruth Stark|Person|0.000578930679385
1101162433811.txt|Steve|Person|0.00119255947389
1101162433811.txt|Steve Evans|Person|0.000990656635441
1101162433811.txt|Troy Whittle|Person|0.00053002643284
1101162433811.txt|Trude Meadowcroft|Person|0.000578930679385
1101162452451.txt|Seattle|Location|0.00241358570917
1101162452451.txt|Louisville|Location|0.00136245082679
1101162452451.txt|Ky.|Location|0.00116570169805
